Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.44535065,88.78084564,89.11582947,89.44775391,89.77355957,90.09018707,90.39458466,90.68367767,90.954422,91.20375061,91.660398,91.63809204,91.83371735,92.0230484,92.21216583,92.40711975,92.61398315,92.83882141,93.08616638,93.35454559,93.35629215,93.94237518,94.2558136,94.57826233,94.90672302,95.23818207,95.57014465,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.021977138,0.179634586,0.959755898,0.776536942,6.267393589,11.75196648,17.23631859,23,28.2286129,33.74868011,42.4,44.8548851,42.7,43.22201891,69.1,67.259552,89.5,71.5,84.13713837,,
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39780807,12.57937908,13.76043987,14.93844128,16.11032486,17.27303123,18.42350197,19.55867577,20.67549515,21.77090073,22.84335518,20,24.93909454,25.97450829,27.00970078,28.05073547,29.10367584,37.5,31.268013,32.38246918,33.5149498,34.6,35.82196426,36.99048996,32,42,40.52060699,,
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.38423904,74.38222009,74.31316029,75.34932484,75.78852169,76.21413797,77.20514987,77.57372994,78.39551105,78.96553167,78.76232978,80.14925651,80.35997843,81.35478764,82.66240234,83.68757621,85.80029613,84.73572324,85.43282681,85.18981512,86.13613365,86.78268328,87.28824394,88.38970515,88.07677414,88.51796739,88.76865402,,
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.64082336,91.12367249,91.60601807,92.08530426,92.55847168,93.02246094,93.47421265,93.91067505,94.3287735,94.72546387,95.09920502,95.51106347,95.79750824,96.13420868,96.47068024,96.81299591,97.16722107,97.53941345,97.93412781,98.36336517,98.82,99.21616364,99.58441162,99.83712769,99.95924377,99.99520874,100,,
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.68037415,97.85359192,98.02389526,98.19134521,98.3526001,98.50465393,98.64447021,98.76902771,98.87550354,98.96206665,98.9,100,98,99.14831543,99.17969513,99.8,99.26573181,99.33103943,99.41564941,99.51981354,99.8,99.76715088,99.87887573,99.95405579,99.98897552,100,100,,
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.12319946,85.65510559,86.18650055,86.71483612,87.23705292,87.75009155,88.25089264,88.73640442,89.20355225,89.64929199,90.07208252,90.47645569,90.8684845,91.25423431,91.63976288,92.2,92.43440247,92.85564423,93.29940796,93.7641983,94.24700928,94.55201403,95.25469208,95.77355194,96.29841614,96.82629395,97.35466766,,
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.87023163,96.16372681,96.45671844,96.74664307,97.03045654,97.30509186,97.56748962,97.81459045,98.02761841,97,98.90822245,98.59178162,100,98.90182495,99.05349731,99.21097565,99.5,99.56214142,99.74180603,99.88473511,99.96567535,99.9,99.99971008,100,100,100,100,,
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348627061,0.688546002,1.027955055,1.364305139,1.694536924,2.015591383,2.324409485,2.617931843,3.9,3.146853924,3.377655506,3.590047359,3.79009223,3.983853579,4.17739439,3.207317073,4.588065624,4.817322254,4.8,5.341904163,5.3,5.938580036,6.5,6.583319187,7,7.2520895,7.588477135,,
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.311272144,8.683940887,10.05609989,11.42519951,12.78818035,14.14198494,14.5,16.80982399,18.11774254,19.40424538,20.66779709,21.9,23.14573288,24.37224388,25.59853554,26.8306675,27.9,29.33671188,30.62123871,31.92679214,34.2,36.9,38.4,37.29920578,34.1,40.03347778,41.40261459,,
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.610557318,3.308718681,4.006370068,6.1,5.389437199,6.068734169,6.735794544,7.387559414,8.020970345,6.9,9.222010612,9.792644501,10.35093212,11.4,11.45471954,12.01234436,12.5818758,13.16937447,13.77939415,14.4104414,13.1,15.72360229,16.39970779,17.08482742,19.2,18.47008133,19.16471291,,
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.544374466,14.29,13.44425011,15.89087391,17.8,20.76270866,23.18179893,22.4,27.97103691,30.33506584,32,34.998806,37.30912399,39.61315918,40.6,44.23,50.52510246,46.5,51.24977493,53.63285446,55.26,59.6,60.87821579,61.5,62.4,68.2046814,75.92,,
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
