"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.75099792","80.9199733","87.67627214","98.61208341","111.27147238","104.65788103","127.60399196","143.84962678","132.27127854","138.82261425","143.9653194","164.16011582","176.93086275","183.92785762","162.78115818","","",
"Angola","AGO","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.92659894","157.38790794","106.73015392","120.97083485","142.03121968","131.33186363","142.14258003","164.69413792","200.72376657","204.65361834","158.17300542","167.91524695","162.48928033","191.4402533","184.49856737","195.75734656","185.82040062","","",
"Albania","ALB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258.28326618","274.91118019","293.38748366","310.03470257","347.71356103","363.84903784","381.34669367","437.94447665","451.24947754","443.31470544","478.31473658","567.77382868","611.46621021","665.11915554","770.33581275","758.23153065","759.66698419","","",
"Andorra","AND","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3049.00618151","3143.03512716","3284.22941886","3277.25093401","3350.19378633","3741.40393486","3974.6149533","4098.11998435","3983.9090731","3966.13004763","3937.48741843","4010.31743206","4414.71148594","4652.24202338","4963.49821427","5097.37986813","4978.7066016","","",
"Arab World","ARB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394.083641112878","433.899463293674","437.745065821204","431.120790187661","444.532263883843","444.911365817566","476.269344579992","512.592280891733","517.317703891855","634.697669213805","594.49033363296","615.173330214632","652.364946725243","734.168562132283","803.801889900268","886.166984928487","1010.00077596803","","",
"United Arab Emirates","ARE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1934.22163089","1999.6373076","2157.53485107","2185.12219654","2094.9596514","1907.34543699","1890.6864282","1916.53088071","2017.78457315","2395.97686241","2187.48600539","2141.9878606","2085.18488131","2323.23549849","2451.97689619","2518.95346763","2546.18760349","","",
"Argentina","ARG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085.40693386","1068.8504374","847.45823456","867.09646255","869.24036558","1054.15818257","1152.4331276","1284.80531897","1357.23913663","1497.08699617","1578.8820891","1647.832709","1645.7883479","1689.13931511","1631.14313689","1808.94614677","1531.0383612","","",
"Armenia","ARM","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.80654603","170.84384883","171.88840879","198.16907181","331.74225837","335.52784961","313.38110652","359.66352685","315.61615491","296.51547578","345.71241815","265.24312962","513.42312548","661.37106175","854.68182266","883.02180722","876.85685658","","",
"American Samoa","ASM","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
