Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9,,,,,,,,,,84.3,,,,,,,,,,60.9,,,,,50.7,,47.4,
Angola,AGO,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.9,,,,,,,,,,112.3,,,,,,,,,,69,,,,,52.1,,48.2,
Albania,ALB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,19.7,,,,,,,,,,9.8,,,,,7.7,,7.2,
Andorra,AND,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,4.3,,,,,,,,,,3.5,,,,,3.1,,2.9,
United Arab Emirates,ARE,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,8.5,,,,,,,,,,6.4,,,,,6.6,,6.9,
Argentina,ARG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,15.7,,,,,,,,,,11.6,,,,,9.2,,8.3,
Armenia,ARM,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,,,,,,23.5,,,,,,,,,,14.2,,,,,11.1,,10,
Antigua and Barbuda,ATG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,,11.5,,,,,,,,,,7,,,,,5.3,,4.9,
Australia,AUS,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,4.6,,,,,,,,,,3.6,,,,,2.9,,2.7,
Austria,AUT,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,4.1,,,,,,,,,,3.2,,,,,2.8,,2.7,
Azerbaijan,AZE,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,,,,,,,,,,55.7,,,,,,,,,,29.2,,,,,20.7,,18.1,
Burundi,BDI,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,87.6,,,,,,,,,,53.2,,,,,41.1,,37.9,
Belgium,BEL,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,4.3,,,,,,,,,,3.2,,,,,2.8,,2.7,
Benin,BEN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,81.7,,,,,,,,,,65.9,,,,,60.6,,57.8,
Burkina Faso,BFA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,,,84.7,,,,,,,,,,60.7,,,,,49.6,,46.7,
Bangladesh,BGD,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2,,,,,,,,,,59.5,,,,,,,,,,36.1,,,,,27.5,,24.7,
Bulgaria,BGR,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,12.7,,,,,,,,,,7.9,,,,,6.2,,5.6,
Bahrain,BHR,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,10.4,,,,,,,,,,7.1,,,,,6.3,,6.1,
"Bahamas, The",BHS,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,12.2,,,,,,,,,,8.8,,,,,6,,5.4,
Bosnia and Herzegovina,BIH,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,7.7,,,,,,,,,,5.6,,,,,4.7,,4.5,
Belarus,BLR,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,8.4,,,,,,,,,,3.7,,,,,2.7,,2.5,
Belize,BLZ,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,17.9,,,,,,,,,,14.6,,,,,12,,11,
Bolivia,BOL,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,53.2,,,,,,,,,,32.4,,,,,26.7,,24.9,
Brazil,BRA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,,,26.7,,,,,,,,,,14.6,,,,,12.3,,11.6,
Barbados,BRB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,12.6,,,,,,,,,,12.1,,,,,11,,10.4,
Brunei Darussalam,BRN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,8.8,,,,,,,,,,8.3,,,,,7.9,,7.7,
Bhutan,BTN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,,,,,,,,,,53.6,,,,,,,,,,31.2,,,,,24.9,,23.2,
Botswana,BWA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,,45.3,,,,,,,,,,34.8,,,,,29.8,,27.7,
Central African Republic,CAF,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8,,,,,,,,,,104.3,,,,,,,,,,93.8,,,,,83.9,,80.3,
Canada,CAN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,4.8,,,,,,,,,,4.5,,,,,4.3,,4.2,
Central Europe and the Baltics,CEB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15976974,,,,,,,,,,9.355142486,,,,,,,,,,5.389815885,,,,,4.36357718,,3.973237905,
Switzerland,CHE,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,4.2,,,,,,,,,,3.6,,,,,3.5,,3.4,
Chile,CHL,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,8.4,,,,,,,,,,6.8,,,,,6.1,,5.8,
China,CHN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,28.2,,,,,,,,,,12.6,,,,,8.6,,7.4,
Cote d'Ivoire,CIV,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,,,,,,,,,,88.7,,,,,,,,,,68.1,,,,,60,,56.8,
Cameroon,CMR,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1,,,,,,,,,,83.4,,,,,,,,,,62.6,,,,,52.6,,49.6,
"Congo, Dem. Rep.",COD,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7,,,,,,,,,,98.8,,,,,,,,,,77.3,,,,,67.2,,63.6,
"Congo, Rep.",COG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,,,,66.3,,,,,,,,,,39.3,,,,,33,,31,
