Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.32151031,,89.53282928,92.0394516,93.4621582,91.86608124,,92.13414764,84.97522736,85.77636719,,,,,92.39189148,,,,,
Afghanistan,AFG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,60.46430969,,,65.66983795,74.75727844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20808983,36.55027008,,,,,,,,,
Albania,ALB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.82914734,,,,,86.11457825,,,88.72502899,,,92.63140869,93.50495911,93.18969727,95.0656662,97.83779907,98.46881866,97.61908722,98.32624817,95.12021637,88.65686035,92.73267365,,
Andorra,AND,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.97962189,,,68.55609894,,
Arab World,ARB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,76.86940765,77.74136353,78.36210632,79.40132141,80.48161316,80.59783936,81.17964935,81.40625763,82.03372955,82.59899139,83.2263031,83.16400909,85.46691895,85.79460907,86.54456329,86.93863678,85.87348175,84.51268005,85.73441315,86.30084229,85.24582672,85.02294922,85.39012146,84.92394257,84.59819794,83.85939789,82.81773376,82.73156738,83.00977325,82.98548889,82.58492279,82.5219574,82.6068573,80.65072632,80.46916199,81.48390198,82.10118103,82.67733002,84.33596802,84.54599762,84.36353302,80.26088715,78.61126709,79.39872742,79.48709106,80.22540283,,
United Arab Emirates,ARE,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,91.31845856,86.42606354,,,,95.09902191,85.59729767,76.47544861,83.59268188,78.2711792,85.05378723,92.96401215,95.08876801,93.36714172,74.14034271,83.60260773,98.22679138,94.90885925,76.33963013,79.34134674,88.49858093,96.31717682,89.85829926,93.61830139,93.62497711,,93.35305023,94.91030121,97.06964111,96.6442337,,,,84.54929352,,90.8167038,,,,,,
Argentina,ARG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,60.52830124,,,,58.89439011,63.45640945,,,,,,,,,,,,,,,,,,,,,,,87.58203888,97.40883636,91.17385101,90.62271118,82.28617096,97.34565735,87.9300766,95.88082123,95.28164673,98.73394012,94.60347748,96.7308197,93.11933136,97.42996979,94.94988251,95.80351257,95.03453827,97.06069946,,,
Armenia,ARM,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.93480682,96.18274689,98.62857819,98.88529205,98.01461029,,,96.30079651,95.98674011,94.20865631,,90.03804016,99.9131012,94.88903046,94.07714844,,
American Samoa,ASM,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,93.84474182,92.87821198,,,,,,,,,,,,,,,,,,,,,,,,,95.80657959,96.24542999,,,,,96.34294128,,,,,,,98.8585434,99.49004364,99.24207306,99.18849182,98.99620819,99.51941681,,,
Azerbaijan,AZE,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,98.13567352,,,96.91590881,95.94242096,99.09562683,95.30998993,97.76759338,95.78057861,97.63391113,100,97.57969666,100,99.99362183,95.37966919,98.59889984,97.60418701,99.8637619,95.0528183,99.85443878,98.86058044,91.39737701,,
Burundi,BDI,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,2.776010036,37.47837067,57.75852966,45.26026917,47.06441116,77.65876007,47.93914032,71.27967072,77.24945831,,,,,,,82.79029083,64.93145752,70.85080719,,65.26309967,,,,,,,,,53.98030853,60.40264893,63.07115936,58.01858902,60.71944046,,61.47233963,55.94841003,,51.83934021,47.25841141,40.5271492,47.05208969,46.52679825,40.86457825,41.00669861,40.45080185,,
Belgium,BEL,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,69.95942688,68.61321259,71.70510864,66.7147522,65.42339325,68.17414093,69.52449036,71.91943359,55.28219986,66.75596619,68.45230103,72.93041229,74.52423859,75.74208069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,66.5785675,63.5655098,50.72154999,,59.64165115,52.39749146,50.17935181,54.20212173,,60.67829895,,56.29956818,33.170681,53.49533081,37.81496811,45.0699501,35.6776886,42.07461929,8.043680191,,46.90742111,62.85689926,48.34918976,59.04563904,54.89556122,60.99555969,58.38417053,,,82.25364685,71.65872192,61.96989059,64.84877014,,,,,,56.12789154,58.31229019,60.48244095,54.71559906,54.30696869,58.64984131,48.53248978,,,
Burkina Faso,BFA,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,50.56615067,47.8379097,52.99052811,58.24383926,62.4201889,63.11972046,59.06763077,62.63449097,65.20127106,67.80491638,76.45471954,69.25823212,70.08596039,73.36090088,,74.72187042,67.08019257,66.59327698,63.1565094,70.00244141,,,,76.79051971,,,,57.34585953,59.50254822,59.95698166,56.33116913,65.16230011,67.73547363,68.13082886,63.18719864,70.64266205,67.66729736,70.84262085,61.22626114,,65.67080688,64.30402374,64.89375305,62.23134995,64.19257355,60.8077507,,
Bangladesh,BGD,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,17.76169014,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.13793945,61.94934082,,,,,,,,,
Bulgaria,BGR,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,95.64398956,97.00814819,96.03447723,96.49768066,83.72518921,93.68057251,92.33450317,91.51435089,85.49732208,,95.2091217,89.64401245,88.64176178,90.19732666,92.64199829,94.72785187,92.6137085,94.08592224,93.11244202,91.36408234,95.05872345,93.92098999,93.25984955,93.99732208,97.61650085,96.81382751,97.46643829,96.18765259,97.50408936,96.08673096,93.56033325,,,
Bahrain,BHR,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,73.18025208,,,86.01158905,79.90078735,90.0617981,,,,80.5195694,91.22473145,87.72621155,91.60073853,80.78687286,,86.30761719,92.11514282,89.39253998,92.73246765,98.83963013,,98.65493011,99.49578094,,,,,,,99.09671021,,,,98.04965973,95.42149353,,
"Bahamas, The",BHS,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7517395,,89.53585815,77.80396271,91.38009644,,,,,,,,,
Bosnia and Herzegovina,BIH,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.05023193,81.11165619,83.00176239,82.81593323,86.41175842,96.48544312,96.65293121,98.61416626,,
Belarus,BLR,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00746918,,97.51081848,97.76341248,,88.89868164,98.97036743,98.67446136,96.27178192,97.78826141,,99.83500671,98.5175705,99.07763672,96.18067932,,,96.87795258,98.80175018,99.05312347,98.46356964,98.26867676,98.06497192,98.12097168,,
Belize,BLZ,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.13886261,,,67.40441132,,,,,74.49340057,,,,,,88.85447693,81.88156891,89.74517059,93.33222961,89.13117218,93.06231689,,90.4905777,95.79640198,97.85787201,,90.79399109,,
Bermuda,BMU,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4797287,,,,,,,,,,,,,,,,
Bolivia,BOL,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80917358,90.03694916,96.43501282,93.93676758,96.00247955,94.62122345,93.81275177,,
Brazil,BRA,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,40.08800125,37.62282181,37.39970016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.98298645,,,,94.04894257,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,74.72155762,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.01451874,97.13464355,96.26541138,94.83818817,96.30912018,,95.95802307,,97.58241272,,,,,94.01731873,,
Bhutan,BTN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,11.14922047,25.29067039,,,,,,,,,,,,,,,69.09741974,,,,72.582901,74.5145874,78.02303314,78.18742371,,,,,81.11647797,,,84.4361496,81.48767853,88.7039032,91.22068024,78.27120209,,,,84.55082703,,
Botswana,BWA,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,48.72248077,,,,,,,,69.63510895,,69.52751923,,,79.95780182,84.01463318,,,,,,,72.05861664,80.25473785,79.13816071,77.92337799,80.53028107,,,78.05393219,78.64382935,81.04917908,81.12463379,80.59497833,82.5905304,79.94782257,84.74112701,,,91.33273315,,,,92.68520355,,,,,,
Central African Republic,CAF,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,36.13962173,,45.62554932,,46.01794052,,,,,49.50429153,63.50131989,63.83625031,,,,20.66506004,65.13233948,56.30857849,,30.56348991,17.73870087,,,,,,,,,,,,,,,,,50.93677902,53.13486099,48.58005142,47.34947968,,,,,,,
Canada,CAN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.86885071,98.34176636,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.48623657,94.54781342,95.07819366,95.705513,95.35076904,95.92492676,93.62825012,97.37126923,94.62149048,92.89389038,97.5030899,96.83361816,97.14028931,96.99159241,97.40644073,97.48483276,97.26824188,96.98812103,96.37312317,96.40000916,96.47530365,98.26602936,97.37754059,97.29073334,96.98854065,97.09095001,97.30925751,97.11312866,97.1268692,,
Switzerland,CHE,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,58.5528717,55.38285828,54.97132874,35.03578949,55.59566116,54.1701889,54.49422836,54.33100128,54.65341949,54.52148056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,78.18968964,69.0848465,69.92443848,70.20063782,66.83409119,64.96401215,71.01589966,,,,,,89.96563721,,,,,,,,,,,,,,96.88665009,,,,,,,,,,,,,,98.23120117,98.00775146,,99.13008881,99.26805878,98.8495636,99.20548248,,
China,CHN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23716736,93.41911316,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,82.93161774,,,,,,,,,71.61134338,,,,,78.66918182,,75.0220108,64.55583191,,76.95765686,74.49295807,72.88555145,67.04282379,,66.91145325,89.7093277,,,,,,83.37223816,,61.78339005,,,84.34723663,74.57752228,78.2085495,84.76747131,82.89389801,,,
Cameroon,CMR,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,59.11832047,60.02742004,68.23744965,60.56536865,55.05033112,,63.75991821,65.00357819,70.53665161,66.4479599,70.9485321,59.42863083,71.12927246,68.41676331,72.1554184,,,,57.81491852,,,,,,,,,,,,,,,,54.641819,57.50856018,68.67958832,66.83184052,56.9247818,69.1491394,,,64.59533691,56.75399017,41.17361069,,
"Congo, Dem. Rep.",COD,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,46.60124969,,,,61.13740921,60.4210701,68.07369232,,,,,,,,,,85.9730072,,,,53.14371109,,66.92971039,,,,,,,,,,,,,,78.30696869,,57.98106003,59.73239899,74.86872864,55.73968124,,34.41016006,,,,
"Congo, Rep.",COG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,78.59719849,,77.01853943,74.48857117,72.55268097,75.49449921,,,,,85.1089325,76.29445648,,,,,58.73981094,,48.22552109,,57.12651062,,25.76663017,,,,,,,57.7538414,,,,,70.60295868,,,,,,,,,,,
Colombia,COL,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,48.30886841,34.02886963,38.76831055,34.39551926,,,,,,,,35.67055893,52.06491852,53.46271133,47.90729904,55.39756012,63.80073166,53.24974823,53.18835831,,,,58.77281952,63.24425888,54.65512085,,,,56.18651962,64.03787994,,,,,78.31903076,77.27928925,81.5568924,,,83.99220276,87.61641693,82.61190796,72.64203644,81.18399811,85.83614349,87.88153076,89.58751678,,
Comoros,COM,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03998947,,,,,,,,,,,,41.81264877,,,,,,,,,,,,,,,64.64454651,,,,,
Cabo Verde,CPV,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,11.61950016,22.84096909,25.51441002,21.61381912,15.96671963,,31.44195938,32.45043945,43.00394821,43.95449829,,,,,,,,,,,,,,86.80522919,85.10072327,85.8718338,,84.90635681,,84.51809692,,,89.5657196,,89.45207214,89.06755066,88.44579315,89.18624878,,,
