Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2013,2014,2015,2016,2017,2018
AFG,Afghanistan,747,Index of economic freedom score,Value,,,,,48.9,51.3
AFG,Afghanistan,748,Index of economic freedom score,Rank,,,,,163,154
AFG,Afghanistan,749,Index of economic freedom score,Regional Rank,,,,,40,38
AFG,Afghanistan,750,Property rights score,Value,,,,,12.6,17.9
AFG,Afghanistan,751,Freedom from corruption score,Value,15,10,8,12,,
AFG,Afghanistan,752,Fiscal freedom score,Value,,91.2,91.7,91.6,,
AFG,Afghanistan,753,Gov't spending score,Value,83.2,84.2,81.2,81.2,79.9,79.3
AFG,Afghanistan,754,Business freedom score,Value,59.7,63.1,61.4,56.6,54.2,53
AFG,Afghanistan,755,Labor freedom score,Value,75.8,75,67.5,63.2,59.9,57.3
AFG,Afghanistan,756,Monetary freedom score,Value,69.5,74.3,72.6,,69.3,77.8
AFG,Afghanistan,757,Trade freedom score,Value,,,,,66,66
AFG,Afghanistan,758,Investment freedom score,Value,65,65,55,55,0,10
AFG,Afghanistan,759,Financial freedom score,Value,,,,,0,10
AGO,Angola,747,Index of economic freedom score,Value,47.3,47.7,47.9,48.9,48.5,48.6
AGO,Angola,748,Index of economic freedom score,Rank,158,160,158,156,165,164
AGO,Angola,749,Index of economic freedom score,Regional Rank,40,39,39,39,41,40
AGO,Angola,750,Property rights score,Value,15,15,15,15,36.4,36
AGO,Angola,751,Freedom from corruption score,Value,20,17.7,23,19,,
AGO,Angola,752,Fiscal freedom score,Value,82.6,87.7,84.5,87.8,,
AGO,Angola,753,Gov't spending score,Value,60.6,55.3,50.1,50.1,58.6,69.1
AGO,Angola,754,Business freedom score,Value,43.1,47.5,47.4,50.3,58.5,58.3
AGO,Angola,755,Labor freedom score,Value,44.8,40.1,43.2,44.8,40.4,50.9
AGO,Angola,756,Monetary freedom score,Value,61.5,63.6,65.4,72.2,70.6,58.5
AGO,Angola,757,Trade freedom score,Value,70.2,70.1,70.2,70.2,56.7,59.5
AGO,Angola,758,Investment freedom score,Value,35,40,40,40,30,30
AGO,Angola,759,Financial freedom score,Value,40,40,40,40,40,40
ALB,Albania,747,Index of economic freedom score,Value,65.2,66.9,65.7,65.9,64.4,64.5
ALB,Albania,748,Index of economic freedom score,Rank,58,54,63,59,65,65
ALB,Albania,749,Index of economic freedom score,Regional Rank,27,25,29,27,30,32
ALB,Albania,750,Property rights score,Value,30,30,30,35,54,54.1
ALB,Albania,751,Freedom from corruption score,Value,31,30.4,31,33,,
ALB,Albania,752,Fiscal freedom score,Value,92.6,92.7,87.2,87.8,,
ALB,Albania,753,Gov't spending score,Value,75.1,75.6,76.1,75,72.5,72.7
ALB,Albania,754,Business freedom score,Value,81,78.1,70.6,67.6,79.3,69.1
ALB,Albania,755,Labor freedom score,Value,49,49.7,52.9,51.5,50.7,50.4
ALB,Albania,756,Monetary freedom score,Value,78.4,80,80.8,81.7,81.4,82.4
ALB,Albania,757,Trade freedom score,Value,79.8,87.5,87.8,87.6,87.7,87.8
ALB,Albania,758,Investment freedom score,Value,65,75,70,70,70,70
ALB,Albania,759,Financial freedom score,Value,70,70,70,70,70,70
ARE,United Arab Emirates,747,Index of economic freedom score,Value,71.1,71.4,72.4,72.6,76.9,77.6
ARE,United Arab Emirates,748,Index of economic freedom score,Rank,28,28,25,25,8,10
