,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.084,64.429,64.747,65.053,65.35600000000001,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.39399999999999,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.88600000000001,70.92399999999999,70.969,71.018,71.062,71.098,71.126,71.148,71.168,71.19,71.219,71.259,71.312,71.382,71.469,71.572,71.688,71.816,71.952,72.093,72.235,72.377,72.516,72.654,72.791,72.929,73.068,73.208,73.348,73.488,0.0
1,Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.58,32.025999999999996,32.466,32.903,33.338,33.771,34.204,34.635999999999996,35.069,35.505,35.946,36.391999999999996,36.847,37.312,37.791,38.287,38.801,39.334,39.89,40.471,41.085,41.738,42.431999999999995,43.163999999999994,43.93,44.728,45.553999999999995,46.398999999999994,47.248999999999995,48.086000000000006,48.89,49.638000000000005,50.323,50.941,51.497,51.998999999999995,52.465,52.918,53.379,53.861000000000004,54.376000000000005,54.928999999999995,55.515,56.121,56.74,57.358999999999995,57.964,58.543,59.086000000000006,59.589,60.053999999999995,60.483999999999995,60.891999999999996,61.286,61.67,62.04600000000001,62.412,62.763999999999996,0.0
2,Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.787,32.098,32.428000000000004,32.774,33.135999999999996,33.510999999999996,33.897,34.292,34.693000000000005,35.096,35.503,35.916,36.336,36.756,37.168,37.556999999999995,37.909,38.211,38.461,38.659,38.808,38.919000000000004,39.009,39.091,39.174,39.255,39.329,39.391,39.446,39.507,39.589,39.707,39.881,40.126999999999995,40.461999999999996,40.903,41.464,42.141000000000005,42.923,43.802,44.766999999999996,45.808,46.903999999999996,48.031000000000006,49.167,50.29600000000001,51.412,52.508,53.571000000000005,54.581,55.506,56.321000000000005,57.016000000000005,57.592,58.056000000000004,58.423,58.717,58.972,0.0
3,Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.309,62.272,63.117,63.81100000000001,64.346,64.723,64.962,65.116,65.233,65.346,65.49600000000001,65.714,66.00399999999999,66.35600000000001,66.762,67.19,67.596,67.943,68.204,68.376,68.475,68.533,68.59,68.673,68.788,68.92,69.04,69.12,69.145,69.122,69.07,69.017,68.997,69.03699999999999,69.15,69.347,69.631,69.982,70.376,70.797,71.215,71.6,71.937,72.223,72.461,72.678,72.911,73.192,73.539,73.95,74.404,74.867,75.29899999999999,75.671,75.97399999999999,76.209,76.389,76.543,0.0
4,Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.77687922,46.36132041,46.93945542,47.51437678,48.0861886,48.65140567,49.20132991,49.73292592,50.24816524,50.75433774,51.264764899999996,51.79731852,52.36064716,52.95276882,53.56233633,54.17034414,54.75379401,55.29933446,55.80765952,56.29321988,56.78172334,57.30196012,57.87143384,58.49340374,59.15494720000001,59.82899146,60.48421511,61.09240078,61.63316103,62.102659499999994,62.54473188,62.90781152,63.17574375,63.53040509,63.89093093,64.31166581,64.67244591,65.02131907,65.34868033,65.65383208,65.93788645,66.20536148,66.46147829,66.71421178,66.96729638,67.22072851,67.47166472,67.71407627,67.94113855,68.15026479,68.34356149,68.52871123,68.71406332,68.90371985,69.09747283,69.29424888,69.49395044,69.69613605,0.0
6,United Arab Emirates,ARE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,49.677,50.776,51.876000000000005,52.975,54.068999999999996,55.148999999999994,56.203,57.218999999999994,58.188,59.105,59.968999999999994,60.78,61.548,62.278,62.975,63.641000000000005,64.278,64.884,65.462,66.014,66.54,67.042,67.51899999999999,67.973,68.405,68.817,69.209,69.581,69.936,70.27600000000001,70.60300000000001,70.919,71.225,71.524,71.816,72.10300000000001,72.384,72.66,72.928,73.191,73.44800000000001,73.702,73.95100000000001,74.197,74.438,74.67,74.892,75.102,75.297,75.48,75.65,75.811,75.965,76.115,76.264,76.414,76.565,76.717,0.0
7,Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.417,62.458999999999996,62.477,62.485,62.498999999999995,62.536,62.611999999999995,62.731,62.893,63.099,63.343999999999994,63.618,63.906000000000006,64.19800000000001,64.485,64.766,65.045,65.327,65.612,65.89699999999999,66.17399999999999,66.433,66.668,66.877,67.062,67.227,67.382,67.538,67.702,67.87899999999999,68.07,68.275,68.487,68.702,68.917,69.13,69.34100000000001,69.55,69.755,69.955,70.148,70.333,70.507,70.672,70.83,70.98100000000001,71.128,71.274,71.423,71.575,71.733,71.896,72.065,72.237,72.414,72.594,72.777,72.964,0.0
8,Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.821999999999996,63.24,63.663999999999994,64.092,64.52199999999999,64.953,65.384,65.81,66.22,66.602,66.935,67.19800000000001,67.381,67.486,67.52,67.509,67.486,67.479,67.502,67.55199999999999,67.60600000000001,67.626,67.57600000000001,67.436,67.203,66.88,66.476,66.03,65.586,65.18,64.86,64.67,64.627,64.732,64.983,65.37,65.868,66.433,67.015,67.579,68.086,68.501,68.824,69.06,69.214,69.31,69.381,69.46300000000001,69.582,69.749,69.961,70.205,70.455,70.689,70.903,71.094,71.265,71.42699999999999,0.0
9,American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.512,59.912,60.3,60.676,61.042,61.398999999999994,61.748000000000005,62.091,62.427,62.757,63.083,63.403,63.718999999999994,64.028,64.333,64.633,64.929,65.221,65.508,65.791,66.071,66.347,66.618,66.885,67.149,67.40899999999999,67.665,67.918,68.169,68.416,68.661,68.904,69.143,69.38,69.613,69.845,70.07300000000001,70.3,70.525,70.747,70.969,71.191,71.413,71.633,71.852,72.063,72.265,72.454,72.63,72.793,72.945,73.09100000000001,73.234,73.38,73.528,73.681,73.83800000000001,73.99600000000001,0.0
11,Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.78571429,67.9,67.84,67.78,67.72,67.66,67.6,67.64,67.68,67.72,67.76,67.8,68.16,68.52,68.88,69.24,69.6,69.92,70.24,70.56,70.88,71.2,71.5,71.8,72.1,72.4,72.7,73.02,73.34,73.66,73.98,74.3,74.5,75.0,75.0,75.0,75.2,75.7,75.9,76.2,76.6,77.0,77.4,77.8,78.1,78.5,78.7,79.0,79.2,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.4,80.4,0.0
