Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16636658,,,,,,,,,,99.32309723,,,,,,,,
Afghanistan,AFG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,11.14280033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.11322021,,,,,,,
Angola,AGO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18212128,,,,,,,,,,,,,70.58512878,,,,
Albania,ALB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.49807739,,,,,,,99.12132263,,,98.85623932,99.02018738,,,,,,
Andorra,AND,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,49.6319809,50.30574036,51.15695953,52.16191864,53.26382828,53.84867096,55.42668915,56.96308899,58.51251984,59.82109833,61.24328995,62.59360123,64.02671814,65.67381287,66.98419952,66.28749084,67.54644775,68.7802124,70.19635773,71.41429901,72.49645996,73.64112091,74.7022934,75.90602875,77.31324005,77.51403809,78.60286713,79.22100067,78.58338928,79.58888245,80.45542908,77.39328003,78.02455139,78.48499298,79.89321136,81.10787201,81.47202301,81.77223969,82.02095795,,
United Arab Emirates,ARE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,56.27696991,,,,,,,,,,84.51428986,,,,,,,,,,,,,,,,,,,,97.0017395,,,,,,,,,,,,,
Argentina,ARG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,97.3024826,,,,,,,,,,,98.54020691,,,,,,,,,,99.12767029,,,,,99.50357056,,,99.69673157,99.58866882,99.71144867,99.6142807,99.59812164,99.40239716,99.64350128,99.62892914,,
Armenia,ARM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.91056824,,,,,,,,,,,,99.86167145,,,,,,,,,,99.87619019,,,,,,,
American Samoa,ASM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,97.44364929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90148926,,,,,,,,100,,99.94579315,99.93332672,99.9317627,99.9176712,99.92669678,99.93637848,99.92011261,99.91648102,,
Burundi,BDI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,21.48686028,,,,,,,,,,,48.01126099,,,,,,,,,,70.36530304,,,,,,,,57.32102966,,,,,,74.95890808,,,,
Belgium,BEL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,18.25518036,,,,,,,,,,,,,26.69029045,,,,,,,,,,33.23799896,,,,30.78655052,,,,,,40.9383812,,,,,,
Burkina Faso,BFA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,6.664060116,,,,,,,,,,,,,,,,14.17374992,,,,,13.98534012,,,,,,,24.81137085,,26.48290062,26.53412056,33.12532043,,,,,,,43.9858284,,,,
Bangladesh,BGD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,27.15101051,,,,,,,,,,37.98974991,,,,,,,,,,60.2562294,,,,,,67.48857117,,,,79.544487,79.36920166,86.92578888,86.48066711,89.53505707,93.53531647,94.37776184,
Bulgaria,BGR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.10977173,,,,,,,,,,97.65106201,,,,,,,
