,Country,Country_Code,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan, AFG,CORRUP.HOM,,,,,,,,25,,18,15,13,14,15.2,8,8,12,11,,,
1,Albania, ALB,CORRUP.HOM,,23,,,25,25,25,24,26,29,34,32,33,30.5,33,31,33,36,,,
2,Algeria, DZA,CORRUP.HOM,,,,,,26,27,28,31,30,32,28,29,29,34,36,36,36,,,
3,Angola, AGO,CORRUP.HOM,,,17,,17,18,20,20,22,22,19,19,19,20.1,22,23,19,15,,,
4,Argentina, ARG,CORRUP.HOM,30,30,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32,,,
5,Armenia, ARM,CORRUP.HOM,,25,25,,,30,31,29,29,30,29,27,26,26.3,34,36,37,35,,,
6,Australia, AUS,CORRUP.HOM,87,87,83,85,86,88,88,88,87,86,87,87,87,88.4,85,81,80,79,,,
7,Austria, AUT,CORRUP.HOM,75,76,77,78,78,80,84,87,86,81,81,79,79,77.9,69,69,72,76,,,
8,Azerbaijan, AZE,CORRUP.HOM,,17,15,20,20,18,19,22,24,21,19,23,24,23.8,27,28,29,29,,,
9,Bahamas, BHS,CORRUP.HOM,,,,,,,,,,,,,,72.9,71,71,71,-,,,
10,Bahrain, BHR,CORRUP.HOM,,,,,,61,58,58,57,50,54,51,49,51.1,51,48,49,51,,,
11,Bangladesh, BGD,CORRUP.HOM,,,,4,12,13,15,17,20,20,21,24,24,26.6,26,27,25,25,,,
12,Barbados, BRB,CORRUP.HOM,,,,,,,73,69,67,69,70,74,78,77.7,76,75,74,-,,,
13,Belarus, BLR,CORRUP.HOM,39,34,41,,48,42,33,26,21,21,20,24,25,24.2,31,29,31,32,,,
14,Belgium, BEL,CORRUP.HOM,54,53,61,66,71,76,75,74,73,71,73,71,71,74.9,75,75,76,77,,,
15,Belize, BLZ,CORRUP.HOM,,,,,,45,38,37,35,30,29,,,,-,-,-,-,,,
16,Benin, BEN,CORRUP.HOM,,,,,,,32,29,25,27,31,29,28,29.7,36,36,39,37,,,
17,Bhutan, BTN,CORRUP.HOM,,,,,,,,,60,50,52,50,57,57.4,63,63,65,65,,,
18,Bolivia, BOL,CORRUP.HOM,28,25,27,20,22,23,22,25,27,29,30,27,28,27.6,34,34,35,34,,,
19,Bosnia and Herzegovina, BIH,CORRUP.HOM,,,,,,33,31,29,29,33,32,30,32,32.1,42,42,39,38,,,
20,Botswana, BWA,CORRUP.HOM,61,61,60,60,64,57,60,59,56,54,58,56,58,60.8,65,64,63,63,,,
21,Brazil, BRA,CORRUP.HOM,40,41,39,40,40,39,39,37,33,35,35,37,37,37.7,43,42,43,38,,,
22,Brunei, BRN,CORRUP.HOM,,,,,,,,,,,,55,55,52.1,55,60,-,-,,,
23,Bulgaria, BGR,CORRUP.HOM,29,33,35,39,40,39,41,40,40,41,36,38,36,33.3,41,41,43,41,,,
24,Burkina Faso, BFA,CORRUP.HOM,,,30,,,,,34,32,29,35,36,31,30.5,38,38,38,38,,,
25,Burundi, BDI,CORRUP.HOM,,,,,,,,23,24,25,19,18,18,19.4,19,21,20,21,,,
26,Cambodia, KHM,CORRUP.HOM,,,,,,,,23,21,20,18,20,21,21.1,22,20,21,21,,,
27,Cameroon, CMR,CORRUP.HOM,14,15,20,20,22,18,21,22,23,24,23,22,22,24.5,26,25,27,27,,,
28,Canada, CAN,CORRUP.HOM,92,92,92,89,90,87,85,84,85,87,87,87,89,86.7,84,81,81,83,,,
29,Cape Verde, CPV,CORRUP.HOM,,,,,,,,,,49,51,51,51,55.2,60,58,57,55,,,
30,Central African Republic, CAF,CORRUP.HOM,,,,,,,,,24,20,20,20,21,22.1,26,25,24,24,,,
31,Chad, TCD,CORRUP.HOM,,,,,,,17,17,20,18,16,16,17,20.4,19,19,22,22,,,
32,Chile, CHL,CORRUP.HOM,68,69,74,75,75,74,74,73,73,70,69,67,72,72.1,72,71,73,70,,,
33,China, CHN,CORRUP.HOM,35,34,31,35,35,34,34,32,33,35,36,36,35,36.4,39,40,36,37,,,
34,Colombia, COL,CORRUP.HOM,22,29,32,38,36,37,38,40,39,38,38,37,35,34.5,36,36,37,37,,,
35,Comoros, COM,CORRUP.HOM,,,,,,,,,,26,25,23,21,24.1,28,28,26,26,,,
36,Costa Rica, CRI,CORRUP.HOM,56,51,54,45,45,43,49,42,41,50,51,53,53,48,54,53,54,55,,,
37,Croatia, HRV,CORRUP.HOM,,27,37,39,38,37,35,34,34,41,44,41,41,40.3,46,48,48,51,,,
38,Cuba, CUB,CORRUP.HOM,,,,,,46,37,38,35,42,43,44,37,41.6,48,46,46,47,,,
39,Cyprus, CYP,CORRUP.HOM,,,,,,61,54,57,56,53,64,66,63,62.7,66,63,63,61,,,
40,Czech Republic, CZE,CORRUP.HOM,48,46,43,39,37,39,42,43,48,52,52,49,46,43.7,49,48,51,56,,,
